0,166,215,26,188,205,68,175,158,110,40,101,48,129,96,50,132,88,86,115
166,0,45,153,25,38,132,41,8,86,145,86,30,54,87,185,55,98,96,71
215,45,0,189,16,10,156,82,43,125,18,127,71,77,123,228,101,145,137,105
26,153,189,0,165,180,62,158,145,96,40,82,125,114,82,71,110,80,70,96
188,25,16,165,0,7,139,68,32,104,160,98,50,58,102,209,69,110,101,79
205,38,10,180,7,0,152,81,43,117,179,120,78,77,125,223,98,126,134,105
68,132,156,62,139,152,0,124,126,37,32,73,98,90,27,75,62,22,38,84
175,41,82,158,68,81,128,036,88,124,98,39,72,86,156,369,108,111,90
158,8,43,145,32,43,126,36,0,72,128,78,17,41,72,167,47,91,78,68
110,86,125,96,104,117,37,88,72,0,67,43,44,67,11,112,28,19,33,66
40,145,180,40,160,179,32,124,128,67,0,77,111,112,58,46,84,50,64,98
101,86,127,82,98,120,73,98,78,43,77,0,65,43,33,126,48,57,20,37
148,30,71,125,50,78,98,39,17,44,111,65,0,45,53,165,26,72,78,58
129,54,77,114,58,77,90,72,41,67,112,43,45,0,67,155,51,88,52,19
96,87,123,82,102,125,27,86,72,11,58,33,53,67,0,101,33,22,26,60
50,185,228,71,209,223,75,156,167,112,46,126,165,155,101,0,127,89,104,142
132,55,101,110,69,98,62,69,47,28,84,48,26,51,33,127,0,47,45,56
88,98,145,80,110,126,22,108,91,19,50,57,72,88,22,89,47,0,39,83
86,96,137,70,101,134,38,111,78,33,64,20,78,52,26,104,45,39,0,45
115,71,105,96,79,105,84,90,68,66,98,37,58,19,60,142,56,83,45,0
