0,132,158,15,150,155,56,125,130,102,33,82,111,113,74,40,94,73,69,98
132,0,32,121,17,22,122,29,7,77,107,62,25,39,59,139,38,66,69,55
158,32,0,146,11,7,109,57,34,63,135,87,46,49,87,169,66,96,89,68
15,121,146,0,138,144,49,116,119,93,32,69,101,100,63,50,84,66,57,84
150,17,11,138,0,5,100,46,24,53,126,69,44,45,78,159,57,86,82,63
155,22,7,144,5,0,109,70,34,101,131,80,54,49,83,165,62,92,124,68
56,122,109,49,100,109,0,109,112,27,27,63,83,72,23,60,43,17,32,64
125,29,57,116,46,70,109,0,25,44,95,58,20,57,53,124,37,52,99,69
130,7,34,119,24,34,112,25,0,67,104,56,14,38,56,136,35,63,64,54
102,77,63,93,53,101,27,44,67,0,53,27,30,41,8,107,16,15,29,48
33,107,135,32,126,131,27,95,104,53,0,64,84,95,48,35,69,42,50,85
82,62,87,69,69,80,63,58,56,27,64,0,49,31,23,99,38,40,14,22
111,25,46,101,44,54,83,20,14,30,84,49,0,39,37,116,18,43,49,45
113,39,49,100,45,49,72,57,38,41,95,31,39,0,50,130,35,64,45,17
74,59,87,63,78,83,23,53,56,8,48,23,37,50,0,82,21,17,17,45
40,139,169,50,159,165,60,124,136,107,35,99,116,130,82,0,103,73,86,120
94,38,66,84,57,62,43,37,35,16,69,38,18,35,21,103,0,32,29,38
73,66,96,66,86,92,17,52,63,15,42,40,43,64,17,73,32,0,32,61
69,69,89,57,82,124,32,99,64,29,50,14,49,45,17,86,29,32,0,35
98,55,68,84,63,68,64,69,54,48,85,22,45,17,45,120,38,61,35,0
